тип_работы,продолжительность_заказа,город,расстояние_от_центра,требуемая_квалификация,сезон,день_недели,время_суток,наличие_бонусов,средняя_температура,количество_доступных_работников,историческая_средняя_цена,уровень_безработицы,средний_рейтинг,цена_за_смену,время_самодобавления
уборка,6,Новосибирск,23.92119184269271,низкая,4,7,14,0,11.632633892259143,47,2873.23093957339,1.8058618048081554,1.0001173998716903,7330.355467755929,0.4829211954575122
покраска,11,Новосибирск,28.470802748099022,низкая,11,3,17,1,-13.221935681489175,12,4665.993509768201,1.9583239800410779,2.838397738620513,3612.3575677253957,0.39122718598918627
уборка,10,Москва,26.787542752947232,средняя,2,7,3,0,-11.428578375757219,35,1513.4191060970445,0.16529626663735253,1.5759299367982988,3180.1138351412847,4.028060821898145
электрика,11,Москва,9.982354486557005,высокая,6,7,21,0,-29.833739596102408,34,2907.0406117802927,5.780320382389188,4.432532055338031,2160.948081231499,3.1254972097524303
уборка,1,Екатеринбург,12.477170311821238,высокая,4,7,3,1,-24.916228022106377,1,4099.922059752204,5.6190413145805715,2.6540968877738242,5933.84861962819,0.31886924592403826
уборка,4,Москва,24.347867844028055,низкая,11,1,11,0,-18.397263963773543,32,4618.118909968825,0.9643593403735651,1.928035528930721,8018.844178252103,1.5112260952911327
электрика,8,Екатеринбург,18.055955359325814,высокая,4,5,8,1,11.637227959775473,4,2754.4063615780833,0.504306388301109,3.047397256517115,6763.765812438442,1.3678234869439334
покраска,10,Новосибирск,16.663476088461152,средняя,10,1,17,1,-16.17727831189633,24,3857.5619528029138,4.90836074098226,2.462871764722849,8926.182983455226,2.8500738234231155
штукатурка,5,Санкт-Петербург,27.835938042236634,высокая,3,2,5,1,-21.934864688002186,71,3531.2206355643057,7.812904175577691,2.840177521801154,6272.942457225288,1.2824908944895672
покраска,9,Санкт-Петербург,16.312736348822998,низкая,8,3,16,0,10.05980704357384,76,2205.363632880063,9.537421715107394,3.9030040047038583,2071.876070986982,3.993982164480597
электрика,11,Екатеринбург,15.690691047825641,высокая,6,1,16,1,12.363751533063741,22,3883.3052262196334,0.7515400654334781,3.0369159285018577,8837.822950308766,1.2666843684844926
уборка,11,Новосибирск,1.7395484423576097,средняя,9,3,12,1,-26.12124666535462,35,2373.4761278827596,7.081720534259839,4.659815791588203,9350.403138907728,2.3095042488425737
покраска,6,Новосибирск,2.5478002784090603,средняя,5,6,11,1,20.23837569396894,85,4243.676833884068,1.9144695887477414,2.0273030227242543,8986.254303290996,2.168081273097551
штукатурка,1,Новосибирск,0.7188990824791803,высокая,6,7,13,0,9.400209523539644,29,4530.654183087059,0.3397582031795132,2.3042584004086972,3521.317344236125,0.45044345828954524
электрика,6,Москва,27.440704660617193,высокая,9,5,7,1,-4.190746168518203,17,3174.478039318703,3.347713825286439,4.110183106098223,9924.378195669387,2.008993727486887
покраска,6,Новосибирск,12.54740647052217,низкая,4,2,14,1,33.90684896898949,28,1689.4360696689046,5.738813252204082,4.1335520651291,9690.478140569132,2.099703042970609
штукатурка,6,Москва,14.32256059593567,низкая,10,4,8,0,-29.33704206349593,47,4080.7339563536602,6.013520146904571,4.906372143477144,8851.009385846242,0.8134258794997664
электрика,8,Екатеринбург,25.43891495397763,низкая,7,7,0,0,5.415362306176,41,3135.2530663240823,0.4920192468128348,3.5135709160400905,6650.55740299948,4.436592192848207
штукатурка,6,Санкт-Петербург,18.47276615608545,высокая,10,2,16,1,-19.619278432253886,17,1830.8173052476188,9.277971225654378,3.2953346344455636,3585.1745231462482,1.929785129999674
электрика,5,Екатеринбург,18.480297093522143,средняя,12,3,9,1,-8.593370064595614,4,2658.9795737502,0.5458846260194428,3.3553915568965293,3549.7151692391453,4.256015824952941
уборка,11,Новосибирск,9.247765665966966,средняя,10,2,22,1,-21.34185157167591,41,2517.2440245092666,2.1719187138965346,2.445291912536706,6150.589340523993,2.9529196377315867
покраска,2,Новосибирск,25.100297030773316,высокая,11,5,4,1,13.433943254550172,6,4042.25789500864,4.325046626067061,2.539835119675204,9140.32029994289,0.14767642818259175
штукатурка,4,Екатеринбург,5.391984293165066,средняя,11,3,10,1,-3.897846428871695,79,2984.2334670764844,9.456523413726895,2.119414366837792,5063.094892174466,3.444359648510134
электрика,10,Москва,2.067912969101963,средняя,6,7,2,0,34.109467543777924,44,3554.666947725088,9.91232466414109,3.387526483509208,5951.988505944175,2.0807985077424216
штукатурка,5,Москва,6.152299046796703,высокая,6,3,1,0,12.500062624560265,24,3253.8451416391176,0.0035176837362094204,4.360965722422005,5353.562813800375,3.686284407378369
штукатурка,10,Москва,8.398247953849658,средняя,6,5,21,1,29.626763118693226,54,4034.899248837249,2.2451573033351657,3.5339405284404064,7906.575712440323,3.478064810893558
покраска,4,Санкт-Петербург,8.828176206699098,высокая,4,6,3,1,-14.34623279086349,72,4013.1779601037388,5.01350536326358,2.8903272236193542,2791.979600683054,3.7205886463907722
уборка,2,Санкт-Петербург,20.280151159253645,низкая,10,1,20,1,-9.279035894980012,91,3070.764413489541,6.943956043154907,1.2545158793522377,7760.8373697553925,3.4900702413902533
штукатурка,7,Новосибирск,6.925825326194984,средняя,6,4,1,1,-6.425654434432399,31,1972.6166612929942,6.567462679833196,1.9906323100650476,8282.901317635859,0.20052976099302566
электрика,10,Екатеринбург,20.461419982602045,высокая,12,6,0,0,24.5034759293504,9,2927.567244070992,2.5151085363112324,4.380061736472596,7721.287775703674,4.828668248957841
электрика,10,Екатеринбург,3.1883991103970923,средняя,7,7,8,1,-16.241074949808798,82,2060.473255678694,1.9751360938185192,2.5848425635500614,7416.45505369441,2.37143842259167
уборка,2,Новосибирск,4.842472602388316,средняя,2,6,2,1,31.536850573441384,53,4857.0527046187435,0.14273900974691278,4.542262266150679,5122.702672082833,4.467073666754859
электрика,1,Москва,15.510232730484352,низкая,11,2,5,0,-27.16735921426813,2,4825.504343000481,8.428598870641673,1.9708231197281778,5868.6684049955,0.9077561210804519
уборка,5,Санкт-Петербург,27.695926176010957,высокая,9,7,13,1,27.84077093416075,86,3098.3998179995488,3.7879702414813465,3.3028858376945993,3694.7342900870417,1.8500452123909537
электрика,1,Екатеринбург,25.85724386992786,низкая,7,7,0,0,-0.6580979117437025,20,1596.6975655672952,8.643407920940176,4.8549527637739915,7537.772380819616,4.872024587073142
покраска,1,Новосибирск,29.07822655206269,средняя,3,6,11,1,4.183372215494003,4,2811.252913482391,3.237059475033708,3.227398734238176,3672.40319494322,4.3880343401994075
штукатурка,1,Москва,19.689132425706042,средняя,10,4,20,1,34.830833761902255,44,4632.829030318626,7.56034788233819,1.8356854302911212,6463.746736761492,4.007933614322808
покраска,6,Москва,20.436538559274716,средняя,10,7,15,0,26.55311872134761,62,2508.073975697118,0.6966106030532537,1.9181893422936858,7975.571615953827,1.522054990225746
штукатурка,9,Санкт-Петербург,18.938178468479016,высокая,7,7,19,1,28.76140340633048,13,3676.9294556051013,8.1144075200158,1.63074701491781,3475.6800470490007,3.555658762460616
штукатурка,10,Санкт-Петербург,18.87315822431682,низкая,10,4,18,1,8.059775415561369,20,2143.780301166031,8.910123499816091,1.0849183798807638,4166.906916053865,1.2816058394860876
штукатурка,11,Новосибирск,4.840050179493747,высокая,10,6,17,1,32.16221586574494,52,4388.074719896942,2.648803408813981,3.769707690642208,5512.485681448477,3.389619911418252
покраска,1,Новосибирск,16.540299206835893,средняя,5,5,13,0,14.707353121405617,6,4621.640623026223,1.4186495176029545,4.132337187411371,7177.215676844584,4.839044131149143
штукатурка,5,Москва,11.88900403682591,низкая,9,1,2,0,23.256257106382193,15,3652.918936105714,1.9614485107322444,4.281029352731299,4585.847233257595,1.8144691099620462
покраска,9,Москва,13.554847865430157,средняя,6,4,13,1,16.86070399606171,72,3683.16868212934,8.67784627952648,1.294893806239267,3422.6145329441524,2.4929214105431234
уборка,9,Екатеринбург,15.946216905247502,низкая,11,3,16,0,20.75943800347968,64,2824.960102910908,2.8620574139554,4.769061716592979,3244.6869025509527,2.058049247371996
электрика,1,Москва,4.287687068166422,высокая,7,6,12,1,11.468112069808988,94,3974.8197796717786,2.313544985575351,3.473867075241661,4101.930583318432,0.5885964757351361
электрика,8,Новосибирск,11.104888148637535,высокая,4,7,0,0,17.21656006691512,36,3174.615552853513,9.788830616040856,1.3533922958305338,5236.872131330696,4.7599218326699075
штукатурка,1,Санкт-Петербург,2.3717620458598057,высокая,2,1,7,1,-1.6639989414013634,36,4109.204037741199,6.700111138336858,1.3395517615123809,2743.561077361016,1.996168271963945
покраска,8,Новосибирск,29.400209847460772,высокая,11,5,20,0,15.946380573512705,3,4889.791635012127,8.32225042945403,3.039203324524653,9617.1756376511,4.807396754828036
электрика,1,Екатеринбург,3.9965768501937213,высокая,4,6,1,1,-12.007314090892752,91,4378.315524157313,7.470546086224454,1.977176192435265,9991.782355761923,3.6288069814962727
покраска,5,Екатеринбург,8.126479787076157,низкая,9,4,18,1,11.271151378587774,94,3310.6593562357784,3.7401366303381045,1.9563758629747974,8969.84372911001,1.184027211597766
покраска,8,Санкт-Петербург,26.793141337750217,низкая,3,6,14,0,4.0439081137048944,93,4926.1098046578245,8.627463846374528,1.0470693301787497,8619.39263861681,3.076559221074413
штукатурка,6,Новосибирск,14.739946364054683,средняя,7,5,13,1,28.404945117385466,80,3624.787802789371,5.881690679043255,2.9293744609303602,5433.02887557088,0.5457036809891666
электрика,9,Екатеринбург,4.501297444858594,низкая,4,2,13,0,13.759484818594828,40,1727.0534684687616,6.573965971830669,1.3463718681634158,4696.508007763586,1.0586252147349955
штукатурка,1,Новосибирск,11.834800872160793,средняя,3,5,17,0,8.780335010657822,38,4056.286683020588,3.260780639050682,1.3070510859328857,5462.877884138261,0.6212347539333374
штукатурка,9,Екатеринбург,3.918105828645882,высокая,5,3,14,1,-9.65018325819235,84,4370.21745762706,9.811638824371414,1.6345867145199446,2151.0716098157445,0.41768364807292635
электрика,1,Санкт-Петербург,6.406371913992802,низкая,2,5,9,1,26.082254687708634,45,1971.9379208961525,8.546018754003695,1.0426326591929351,3277.974927517997,3.1315153347094276
электрика,10,Екатеринбург,2.0348804850204285,низкая,11,1,17,0,-26.479750139460393,62,3877.5148826825716,1.4811443363186039,1.4140011099937366,6371.428066174846,1.420778279882073
уборка,10,Новосибирск,13.427711089198448,высокая,10,2,19,1,28.483817067780123,80,4723.208242464674,2.0387713949891073,3.377369810486712,9416.995034782525,3.809714243574853
уборка,3,Новосибирск,24.295765590895165,высокая,4,6,3,1,12.44354296250674,85,2379.9908349265975,7.485837029435528,2.0268050912121818,9418.456648958334,1.7451644349170374
покраска,1,Екатеринбург,17.78609077164692,высокая,7,6,6,1,-17.68298122684102,82,3547.5301310445548,0.2575176567422588,1.2752873185243399,7715.1741830571455,4.365620569153227
электрика,3,Москва,18.387186511796045,средняя,12,3,1,0,28.69470765570611,95,2461.0589963034945,3.3545042630024824,1.5419340676888895,5879.189554024307,2.26373137997
уборка,11,Санкт-Петербург,6.41722888745559,средняя,12,2,8,0,-8.786991265562868,66,4210.425951825805,5.3251853178268025,1.1725700532953085,4140.870999576675,1.821597988529783
покраска,2,Санкт-Петербург,10.644868375944812,низкая,2,3,22,1,-19.062281222021888,24,3532.310130286328,2.0491109539624874,4.1078319557398375,5312.224118001414,0.2993626028220376
покраска,2,Екатеринбург,25.434642063304544,высокая,10,6,3,0,-9.255505995675158,6,2998.2672170306478,8.731511273723019,3.2459504673207626,9879.392186941714,3.6788834833541526
покраска,9,Екатеринбург,3.091757437632179,низкая,6,2,11,0,32.46970134413325,81,1601.457961627506,8.892681540334875,2.896535012422209,8857.70330244003,4.884331427781877
уборка,8,Москва,25.808954283221745,высокая,5,4,22,0,18.929302454937257,90,4806.796317713863,9.568461472103484,4.493077300889254,5876.0697337201655,1.3765614838813387
электрика,1,Санкт-Петербург,14.768855774811176,высокая,3,5,9,1,29.591553591128367,2,3242.087455424329,1.4633089054673498,1.318614693831372,8828.582931856228,3.3067292874176633
штукатурка,4,Москва,25.19584922409096,высокая,5,1,10,1,-10.57331803839362,26,4314.383401082385,0.792875403649338,1.1486747075121833,7980.150767309128,3.405383348599239
покраска,1,Санкт-Петербург,9.88118937213481,высокая,10,1,0,1,-24.64144685453119,44,2871.6321894499283,5.560945084312079,2.6963683336515696,5228.297725383076,2.258840172527075
уборка,1,Екатеринбург,10.495867071699113,высокая,7,4,12,1,6.579089751097534,1,4471.862729542783,7.924329311589099,2.0560768514104026,5952.686008626875,1.7810259381745084
уборка,4,Санкт-Петербург,22.67234361553271,средняя,3,7,6,0,1.3950502648333014,2,2060.1363264894107,2.9105830538707367,2.9032723712386916,5708.272215000692,0.3557695549679434
штукатурка,2,Санкт-Петербург,23.657387115070495,низкая,8,2,5,0,16.839310948548885,97,2310.2286921802233,2.4097156754460336,4.6137189151322575,2116.1086657899436,4.752609222431309
штукатурка,3,Санкт-Петербург,7.274518000709329,высокая,7,5,8,1,5.273886737549077,11,2666.86988581136,5.177207692607223,2.7850345431834627,4570.855690774828,2.598948985028918
уборка,11,Москва,29.199704082246214,средняя,4,4,23,1,-4.229659594029382,30,1810.0836806351426,4.82055948617827,1.6847949349109475,2310.0926663514015,1.5994030080965447
электрика,9,Москва,2.992458075222454,средняя,5,2,17,0,-29.695419484901052,34,3053.443299451373,4.7955001712855205,4.191330574888353,9079.341998008898,4.419620220033137
штукатурка,2,Санкт-Петербург,2.5208374115128613,высокая,10,5,2,1,0.40352629637172654,61,3200.735361021658,4.052769974334746,2.5551683308859574,6692.36293778389,0.7761235518936742
уборка,4,Новосибирск,18.06737435094003,высокая,11,2,12,1,-22.158216678686465,91,1901.7999921130859,7.2705754439884895,4.020182991887398,5232.576088926307,3.531222422773091
штукатурка,1,Москва,21.820852649262832,средняя,4,1,2,1,29.930071701856676,34,2994.8454718391354,6.146907319368115,1.565566788218979,2797.1738150546817,0.6745000496166539
электрика,2,Екатеринбург,28.846140812136728,высокая,2,5,12,1,29.910911484465444,71,2190.5361774184516,4.878152848396731,2.3486264089434483,2325.2623698773486,3.6775812649064314
покраска,5,Екатеринбург,12.445900533566416,средняя,12,1,5,1,22.23718547953311,2,4563.241194238211,7.207004946664828,1.0904188902878782,4049.351036881946,3.0527508193067336
штукатурка,10,Санкт-Петербург,1.2460965651941769,высокая,9,1,17,1,-19.73866660751163,64,3282.526984383387,2.6169609107645875,1.9417316607418607,5166.457362664957,2.8938461759119742
электрика,1,Екатеринбург,18.285442013669005,средняя,1,5,1,0,-20.416477107068935,94,4831.88149804913,8.9183677565996,3.5880580167685827,6790.32379347055,2.8583480111827586
уборка,11,Москва,9.04603260766377,высокая,8,4,19,0,6.615165194102083,3,2695.010227339516,3.84167668405646,2.1725790727167054,4816.358041538695,2.243054303572634
штукатурка,7,Новосибирск,13.271940075264366,средняя,4,2,16,1,17.28501499140451,66,2694.8829996486274,3.275926730197739,1.556835872144101,5849.668356732111,4.489277577687718
штукатурка,4,Новосибирск,14.90984972637309,низкая,9,5,0,1,28.795052522059635,30,2685.491463861071,5.422749532981896,1.2249581351887477,7439.304123637408,0.2809210146989554
уборка,6,Новосибирск,2.4031220167719978,высокая,3,6,16,0,28.112234405464747,93,2438.995798609383,2.7040940606534702,3.411020482886382,2349.7506896413124,4.397330698527777
покраска,8,Екатеринбург,14.836462644641033,высокая,7,1,4,0,-19.90370724951098,35,4244.828153324299,2.687401743480875,1.3083642448211958,6198.75929723672,2.1840460972873044
уборка,6,Санкт-Петербург,13.076430170727285,средняя,3,2,8,1,34.70580675495435,22,2489.5928391698963,0.7787463947510587,4.195199312413273,4278.298958660998,1.7115516241857465
штукатурка,2,Екатеринбург,21.5200558259545,высокая,10,5,3,1,-19.80816369748002,82,2508.0462468256533,6.51939052157605,2.4287277963549956,8256.252397060813,3.020011001209857
уборка,1,Санкт-Петербург,19.547144380764166,низкая,12,4,13,1,24.60768628177226,62,1664.1369053296949,9.127303646480748,2.2197772047693882,4583.35297173545,1.161100484577109
электрика,8,Новосибирск,5.9638636854415505,низкая,7,5,7,0,8.151461146721076,54,4878.764835501629,6.852635539315091,3.4991848170551747,3358.443558646786,2.283010361507634
уборка,8,Москва,6.581098087206711,средняя,2,5,22,1,14.088620825646522,98,4602.028470964524,5.67737447214787,3.22647503001575,8315.358142369538,3.172897102104279
штукатурка,9,Екатеринбург,7.904682273844011,средняя,3,3,12,1,9.258165514913543,60,2523.7837954488314,7.117886224190472,4.950352777324644,8150.2903594097725,1.9316892331480748
уборка,6,Москва,5.779037988766731,высокая,8,6,5,0,26.529332756040425,38,3322.6916305182704,9.66450844114317,1.2049493927620287,5711.428645560292,1.6587489147614807
покраска,1,Новосибирск,19.88778939021978,средняя,7,2,13,0,11.411349355223848,30,3189.6078372055945,3.364937421855058,4.4054796698039524,3474.088760173591,2.989571588446931
уборка,9,Санкт-Петербург,29.83569028640798,низкая,11,5,8,1,25.16314839624546,2,1806.96083784014,4.306905577249762,3.3978885591600476,5783.68128371061,3.1646592405631653
покраска,3,Москва,19.73719604522013,низкая,3,1,16,1,-19.966081382005562,20,3359.189985698183,2.8621842180004275,4.530478241725033,5534.838152693954,1.633635273602108
электрика,11,Екатеринбург,18.39710561264309,высокая,8,1,6,0,26.335937498507228,44,1896.6430891195776,0.16721057663982575,3.775649365903457,3176.740875371123,3.2781415527059297
покраска,6,Москва,12.592874033856639,низкая,9,3,8,1,34.54196582742742,80,3019.313693180674,3.4742654837646825,4.049398813088466,4903.451946966232,4.232351046681853
уборка,10,Москва,9.72111763636294,средняя,2,1,14,1,12.997941674654236,68,1807.3150040135602,0.7161555470124881,4.146797838786371,8516.782473597916,0.6547317307898148
штукатурка,10,Екатеринбург,27.376675828741135,высокая,2,5,9,0,33.46347177946391,77,3561.206649905203,8.583987642471868,1.0606192564983612,6024.221226341197,4.700754027655493
покраска,11,Санкт-Петербург,29.085555287193515,высокая,7,2,13,1,-15.707569993426532,78,1671.531093040564,7.156091937811382,4.353160147455335,3035.3007847935123,0.4299045218845132
электрика,9,Екатеринбург,15.15489717983797,высокая,11,3,15,0,23.90340282251905,9,3699.5002056893545,3.0403140923186944,3.7174933727408837,9076.271037988538,2.66920258275947
покраска,11,Новосибирск,9.060914617443446,средняя,8,6,1,1,-19.011946080963444,14,3975.2646424501854,3.2794466013420056,4.789533460010757,7952.099735785573,4.523374138161404
покраска,3,Санкт-Петербург,23.218605126258147,высокая,5,7,3,0,3.5362796176361186,11,3498.021175771846,5.69603273936394,1.5327688754274758,6345.5450109532085,1.3532557180996136
покраска,5,Москва,4.407475330572915,высокая,2,3,20,0,13.162274445424792,10,3143.2151064346617,7.980319174337853,4.686300878298214,4139.271881148191,3.513859222135669
электрика,5,Екатеринбург,23.084853010488604,низкая,10,4,14,0,12.917046373080666,94,1712.774472174549,7.187072959393951,4.417909210267323,2773.99176987056,0.3055617380175531
уборка,10,Новосибирск,24.658977042184492,низкая,5,4,10,0,13.605961220383982,71,1539.736448175507,0.28818127872554666,1.9053307340759855,7905.399386487639,2.454542365560298
покраска,7,Екатеринбург,4.184666366501437,высокая,3,2,20,1,-9.139894953406106,57,2698.5103524705764,7.852960421449321,1.496280455541093,7018.336796950906,3.167328036967371
покраска,4,Санкт-Петербург,29.31741332949863,средняя,9,2,10,0,33.291871305525554,6,4199.383519224459,8.81333810733928,3.514445151696743,8557.168822416745,2.743435224819427
штукатурка,11,Новосибирск,29.572612566460112,средняя,2,7,22,1,-29.574055390418685,17,3765.4726323857963,0.8988980817331382,3.7038265187384294,7512.802705424488,0.9714083805392129
электрика,4,Москва,28.13322464015686,средняя,9,3,23,0,10.364899166068128,13,1938.4833030568493,7.700597293626984,3.843671903266721,3236.284622600685,0.20516419048955742
покраска,7,Санкт-Петербург,15.133026877484797,средняя,2,5,12,0,26.29713176258131,59,3907.787071212932,2.5172908510135428,4.382222857166733,5619.63460527305,2.296721072410337
электрика,9,Новосибирск,7.7591871971664395,низкая,1,5,15,0,27.922358334840695,47,3512.2045664385078,1.7370839398402471,3.226828189823658,4496.669621763804,0.9845536665611235
покраска,11,Санкт-Петербург,17.669273786016433,средняя,10,4,8,1,16.813351091054102,4,2083.5311774098527,5.4387653375208735,2.135835648355866,8923.641312592768,1.8907177067405392
уборка,4,Москва,12.888048234907354,средняя,6,2,20,0,7.362793294093812,26,4143.555744974479,5.52671876297178,4.4282622351353105,4189.477546733226,4.21896858085591
уборка,4,Новосибирск,6.575485019157314,высокая,11,7,1,1,-0.2732213762851359,32,4406.065780389911,4.708768575150062,2.733567891461656,5962.6751840122015,2.789419179573408
покраска,6,Екатеринбург,12.998454083726504,средняя,6,2,1,0,-0.7814603305075636,56,2313.9510108576833,9.018031738075326,2.7384445786237723,6386.797621623013,0.5004574716467595
уборка,6,Екатеринбург,20.08475015248892,средняя,4,5,4,1,-2.3685564569807873,67,3725.6020267716094,2.4161558884838144,2.9699321407152945,7002.886049572909,3.61504158661482
покраска,7,Москва,2.591942668186736,средняя,2,4,4,1,15.493022078040461,11,2823.463680805894,6.025437581244964,4.342219531417716,7082.008192970678,2.305037591414623
уборка,1,Новосибирск,10.335831042657487,средняя,10,5,4,1,17.528548570919284,84,1704.6134936506007,4.098672127852565,4.88311311466482,7165.087596180151,0.2986986339563557
штукатурка,11,Москва,1.0249492553783432,низкая,12,5,13,1,3.4595526727739454,58,4514.736283601968,8.737789978436277,1.6843972926697113,4843.030135289371,3.6362026708444897
штукатурка,3,Москва,22.610117411119433,высокая,11,3,5,1,18.152764732925604,52,4372.605683366186,1.328151400611245,1.4885773093462724,6046.041520139641,4.440227112477807
штукатурка,9,Санкт-Петербург,19.400392394692673,низкая,3,2,15,1,4.349586813841611,29,2612.7987784905436,0.8291527731754256,2.151251248819878,2467.4630823363354,3.758219138356149
электрика,6,Екатеринбург,2.348827973707993,высокая,6,3,15,0,-23.672139302389834,2,3360.2680838367805,9.92760199181456,4.616981984971982,6219.730525296368,4.89278486092127
электрика,6,Москва,28.95975800825805,высокая,4,3,7,1,25.354979514878018,68,3293.2937379410037,5.772036118791113,3.112492431036522,6976.593739863832,0.8712316054383715
штукатурка,5,Санкт-Петербург,1.1673359352494699,высокая,5,5,4,0,26.581229384653398,96,2121.1069597955598,9.119417676788641,1.0226344395169833,7955.024964148272,2.8663903675740405
электрика,11,Москва,17.903839071044615,высокая,11,4,12,0,-12.680020869351171,49,2009.8586793850773,4.082171286064544,3.327677703276333,3178.432122232907,0.5525994753836438
уборка,3,Москва,23.402840123072146,низкая,9,5,2,1,21.118171948422543,21,4454.937563917638,6.042952843170647,3.19583377073476,6959.109853018381,4.880853793230716
покраска,11,Москва,23.742941234819327,высокая,5,6,8,1,3.2261149179591655,17,4535.753400777204,6.940898463316122,1.3193214832480842,4619.00359343145,1.1538812748257299
покраска,5,Екатеринбург,1.5114114999995116,средняя,10,4,3,0,-21.93823329196755,77,4038.1289853528124,9.861129725210812,1.595855485165088,5230.504152645959,4.715793114512208
покраска,1,Новосибирск,27.239246412892957,средняя,11,7,7,0,-4.130084777105928,96,1754.6793375260631,1.127385072685032,1.3721303034923413,5798.588080661624,2.3442900640768913
штукатурка,3,Екатеринбург,27.594324321850106,высокая,8,2,15,1,-25.02412271201122,3,4681.997613341488,1.2478080872546349,3.0846200356384186,3031.478514642464,3.988288297702518
электрика,4,Санкт-Петербург,17.061016008053993,средняя,2,6,10,0,21.120354725632367,42,4932.634572004165,5.232034862836688,3.123926395239019,3920.0069247612846,4.7775658043382325
уборка,5,Новосибирск,14.72145436717081,средняя,12,6,22,0,-17.244824919727492,48,4214.648751813983,0.5580018855006408,2.8405591768281186,2505.43621359353,1.2409856613415389
уборка,10,Санкт-Петербург,1.8235901603466944,высокая,6,6,18,1,-19.314526427740134,95,2736.9443388634136,7.274797864484002,2.803906292955108,9793.47221900663,4.097356970974302
штукатурка,9,Москва,17.077647204041124,высокая,11,1,9,0,-16.445053949433525,31,2920.2117032354427,9.907555061817972,3.321793414927599,3526.128107461873,4.458134552990929
уборка,4,Новосибирск,12.576682912221807,высокая,11,2,21,1,-15.301484171911133,1,4543.728543729887,8.114357780672727,3.648623388548436,7069.898727562607,2.802796410318798
уборка,3,Санкт-Петербург,23.297789018555356,низкая,6,5,6,1,13.806891767376378,92,2480.651376449508,2.6580883397384714,4.855128407914329,2924.099672210197,3.4039495474356753
уборка,10,Москва,12.414565223139592,высокая,5,4,11,0,11.509063837118774,87,1996.5016389054495,7.9956134187898975,3.18053287111395,7575.616901095493,2.272182593354286
уборка,1,Санкт-Петербург,20.665634583078937,высокая,6,6,22,0,-21.593119432745887,69,4379.815020850199,6.278762949477654,2.062754518169587,8999.940392026157,2.1839460759974507
электрика,10,Санкт-Петербург,3.4915403140071586,низкая,5,1,7,0,17.087247096656007,1,2176.663925976557,1.1941976461322013,4.898402629053881,5802.188972982727,0.8811542101627149
уборка,6,Екатеринбург,4.4220919875960245,средняя,2,6,9,1,-7.311288302240818,80,4675.549400626338,5.65924150470838,1.423051340577274,7491.813421150261,3.4759388242602482
покраска,7,Москва,4.621450624150171,низкая,5,4,4,0,-0.26427250426938187,75,3584.8874445563115,8.96776602280106,2.2506485917389325,7285.277867477878,0.9177794607781131
штукатурка,10,Екатеринбург,1.8430022440924339,средняя,1,7,4,0,-21.884102611731812,36,3443.794483299988,2.8992293652223724,4.609698367960355,7230.194321843334,0.9914285166748557
электрика,8,Новосибирск,16.46920134845921,низкая,3,4,12,1,16.06069364639182,80,4215.122659900598,6.591075162510316,4.77546348014765,2847.1145603814766,2.563400821109247
уборка,1,Москва,23.922047918287262,высокая,7,7,1,0,-5.545560431696142,59,1557.6285087251213,0.415647318505048,3.5800250314072044,8533.70262944512,2.344956826685858
электрика,4,Екатеринбург,18.50713050896315,низкая,4,1,11,0,11.088424212822858,61,3997.3864874695405,8.342153026008546,1.0584856664495703,6688.361815279672,3.282354364517673
уборка,11,Екатеринбург,17.46116912380926,высокая,8,1,10,1,-2.230638597118073,76,3594.728840378,2.0593735650194023,2.7702852432267604,3815.269075281485,2.658654747984659
покраска,5,Новосибирск,20.578405887880724,средняя,3,2,1,1,-26.8235279574412,94,3333.2324074060048,6.086252362939138,4.731018690941741,5518.936360975047,1.6446928343105174
штукатурка,2,Санкт-Петербург,10.519537030624436,высокая,7,3,14,0,15.726821780655584,4,2260.641431640019,5.241934419017542,4.558799418665778,7800.469748457723,0.38352370358968535
уборка,1,Санкт-Петербург,11.177645113622752,низкая,2,6,19,1,5.913030416036321,49,4403.020556656031,5.481303128791816,4.575101511161074,7139.818581304435,2.985037286142366
уборка,8,Санкт-Петербург,9.770967897517215,низкая,8,1,6,0,-1.7740800706071873,41,2377.2761301754435,2.5373678790201226,2.175408521841007,3220.974111833474,2.4956087704536927
уборка,6,Новосибирск,21.50721351918048,средняя,3,6,7,1,-16.899120603990326,60,3214.205063054037,5.591120050646289,4.299261025988404,6806.650468819206,0.4963434432118379
уборка,5,Екатеринбург,5.268389902287842,высокая,6,3,2,1,10.582308963264197,72,2053.2812108032904,6.027513570221227,3.6892489980106795,6068.4361122336395,3.5254005488918554
штукатурка,9,Москва,0.8842457692312693,средняя,2,3,16,1,-12.112165984383577,72,4907.9857247942655,4.2545669805591,4.574820042481553,7232.185824534321,1.3487972377598918
штукатурка,11,Новосибирск,18.087795178313524,высокая,7,3,19,0,-2.103670589314582,21,2180.8650950956226,6.3325304668461815,3.551656503532708,8275.353055585994,0.26814454926324494
покраска,11,Санкт-Петербург,28.30025025965906,высокая,4,7,5,1,-26.328465439231145,40,4311.264404995015,1.9157382548508994,2.5006083167889512,4632.158683688229,0.1541767477301464
штукатурка,2,Санкт-Петербург,18.477533551390987,средняя,6,3,21,1,20.48852296594771,72,2420.7773779037793,5.125952597242536,3.5376067093204906,5271.391794416223,2.744362479234377
